Product Name,Sale price
sterling silver oval gemstone ring,['34.00']
sterling silver mini cutout heart ring,['6.00']
sterling silver organic split band ring,['14.00']
sterling silver three band hammered spinner ring,['32.00']
sterling silver 3 x 2mm russian wedding ring,['20.00']
sterling silver 1.5mm flat band ring,['8.00']
sterling silver cubic zirconia wishbone ring,['12.99']
sterling silver cubic zirconia marquise band ring,['18.00']
sterling silver narrow hammered band,['10.00']
sterling silver curved wishbone ring,['8.00']
sterling silver heart gemstone bobble ring,['12.00']
sterling silver 3 x 1mm russian wedding band,['12.00']
3mm plain sterling silver d shaped band ring,['16.00']
sterling silver dotty band spinner ring,['18.00']
sterling silver split band wave ring,['12.00']
sterling silver mini wave ring,['6.00']
sterling silver cubic zirconia ultra fine twist ring,['9.00']
sterling silver 4mm d shaped plain band ring,['18.00']
sterling silver fine fancy band ring,['8.00']
sterling silver little wiggle ring,['9.00']
sterling silver slim concave spinning ring,['18.00']
sterling silver pinched band ring,['15.00']
sterling silver hammered spinning ring,['35.00']
sterling silver tiny 1.5mm plain band ring,['9.00']
sterling silver oval gemstone ring,['34.00']
sterling silver mini cutout heart ring,['6.00']
sterling silver organic split band ring,['14.00']
sterling silver three band hammered spinner ring,['32.00']
sterling silver 3 x 2mm russian wedding ring,['20.00']
sterling silver 1.5mm flat band ring,['8.00']
sterling silver cubic zirconia wishbone ring,['12.99']
sterling silver cubic zirconia marquise band ring,['18.00']
sterling silver narrow hammered band,['10.00']
sterling silver curved wishbone ring,['8.00']
sterling silver heart gemstone bobble ring,['12.00']
sterling silver 3 x 1mm russian wedding band,['12.00']
3mm plain sterling silver d shaped band ring,['16.00']
sterling silver dotty band spinner ring,['18.00']
sterling silver split band wave ring,['12.00']
sterling silver mini wave ring,['6.00']
sterling silver cubic zirconia ultra fine twist ring,['9.00']
sterling silver 4mm d shaped plain band ring,['18.00']
sterling silver fine fancy band ring,['8.00']
sterling silver little wiggle ring,['9.00']
sterling silver slim concave spinning ring,['18.00']
sterling silver pinched band ring,['15.00']
sterling silver hammered spinning ring,['35.00']
sterling silver tiny 1.5mm plain band ring,['9.00']
sterling silver oval gemstone ring,['34.00']
sterling silver mini cutout heart ring,['6.00']
sterling silver organic split band ring,['14.00']
sterling silver three band hammered spinner ring,['32.00']
sterling silver 3 x 2mm russian wedding ring,['20.00']
sterling silver 1.5mm flat band ring,['8.00']
sterling silver cubic zirconia wishbone ring,['12.99']
sterling silver cubic zirconia marquise band ring,['18.00']
sterling silver narrow hammered band,['10.00']
sterling silver curved wishbone ring,['8.00']
sterling silver heart gemstone bobble ring,['12.00']
sterling silver 3 x 1mm russian wedding band,['12.00']
3mm plain sterling silver d shaped band ring,['16.00']
sterling silver dotty band spinner ring,['18.00']
sterling silver split band wave ring,['12.00']
sterling silver mini wave ring,['6.00']
sterling silver cubic zirconia ultra fine twist ring,['9.00']
sterling silver 4mm d shaped plain band ring,['18.00']
sterling silver fine fancy band ring,['8.00']
sterling silver little wiggle ring,['9.00']
sterling silver slim concave spinning ring,['18.00']
sterling silver pinched band ring,['15.00']
sterling silver hammered spinning ring,['35.00']
sterling silver tiny 1.5mm plain band ring,['9.00']
sterling silver oval gemstone ring,['34.00']
sterling silver mini cutout heart ring,['6.00']
sterling silver organic split band ring,['14.00']
sterling silver three band hammered spinner ring,['32.00']
sterling silver 3 x 2mm russian wedding ring,['20.00']
sterling silver 1.5mm flat band ring,['8.00']
sterling silver cubic zirconia wishbone ring,['12.99']
sterling silver cubic zirconia marquise band ring,['18.00']
sterling silver narrow hammered band,['10.00']
sterling silver curved wishbone ring,['8.00']
sterling silver heart gemstone bobble ring,['12.00']
sterling silver 3 x 1mm russian wedding band,['12.00']
3mm plain sterling silver d shaped band ring,['16.00']
sterling silver dotty band spinner ring,['18.00']
sterling silver split band wave ring,['12.00']
sterling silver mini wave ring,['6.00']
sterling silver cubic zirconia ultra fine twist ring,['9.00']
sterling silver 4mm d shaped plain band ring,['18.00']
sterling silver fine fancy band ring,['8.00']
sterling silver little wiggle ring,['9.00']
sterling silver slim concave spinning ring,['18.00']
sterling silver pinched band ring,['15.00']
sterling silver hammered spinning ring,['35.00']
sterling silver tiny 1.5mm plain band ring,['9.00']
sterling silver oval gemstone ring,['34.00']
sterling silver mini cutout heart ring,['6.00']
sterling silver organic split band ring,['14.00']
sterling silver three band hammered spinner ring,['32.00']
sterling silver 3 x 2mm russian wedding ring,['20.00']
sterling silver 1.5mm flat band ring,['8.00']
sterling silver cubic zirconia wishbone ring,['12.99']
sterling silver cubic zirconia marquise band ring,['18.00']
sterling silver narrow hammered band,['10.00']
sterling silver curved wishbone ring,['8.00']
sterling silver heart gemstone bobble ring,['12.00']
sterling silver 3 x 1mm russian wedding band,['12.00']
3mm plain sterling silver d shaped band ring,['16.00']
sterling silver dotty band spinner ring,['18.00']
sterling silver split band wave ring,['12.00']
sterling silver mini wave ring,['6.00']
sterling silver cubic zirconia ultra fine twist ring,['9.00']
sterling silver 4mm d shaped plain band ring,['18.00']
sterling silver fine fancy band ring,['8.00']
sterling silver little wiggle ring,['9.00']
sterling silver slim concave spinning ring,['18.00']
sterling silver pinched band ring,['15.00']
sterling silver hammered spinning ring,['35.00']
sterling silver tiny 1.5mm plain band ring,['9.00']
sterling silver oval gemstone ring,['34.00']
sterling silver mini cutout heart ring,['6.00']
sterling silver organic split band ring,['14.00']
sterling silver three band hammered spinner ring,['32.00']
sterling silver 3 x 2mm russian wedding ring,['20.00']
sterling silver 1.5mm flat band ring,['8.00']
sterling silver cubic zirconia wishbone ring,['12.99']
sterling silver cubic zirconia marquise band ring,['18.00']
sterling silver narrow hammered band,['10.00']
sterling silver curved wishbone ring,['8.00']
sterling silver heart gemstone bobble ring,['12.00']
sterling silver 3 x 1mm russian wedding band,['12.00']
3mm plain sterling silver d shaped band ring,['16.00']
sterling silver dotty band spinner ring,['18.00']
sterling silver split band wave ring,['12.00']
sterling silver mini wave ring,['6.00']
sterling silver cubic zirconia ultra fine twist ring,['9.00']
sterling silver 4mm d shaped plain band ring,['18.00']
sterling silver fine fancy band ring,['8.00']
sterling silver little wiggle ring,['9.00']
sterling silver slim concave spinning ring,['18.00']
sterling silver pinched band ring,['15.00']
sterling silver hammered spinning ring,['35.00']
sterling silver tiny 1.5mm plain band ring,['9.00']
sterling silver oval gemstone ring,['34.00']
sterling silver mini cutout heart ring,['6.00']
sterling silver organic split band ring,['14.00']
sterling silver three band hammered spinner ring,['32.00']
sterling silver 3 x 2mm russian wedding ring,['20.00']
sterling silver 1.5mm flat band ring,['8.00']
sterling silver cubic zirconia wishbone ring,['12.99']
sterling silver cubic zirconia marquise band ring,['18.00']
sterling silver narrow hammered band,['10.00']
sterling silver curved wishbone ring,['8.00']
sterling silver heart gemstone bobble ring,['12.00']
sterling silver 3 x 1mm russian wedding band,['12.00']
3mm plain sterling silver d shaped band ring,['16.00']
sterling silver dotty band spinner ring,['18.00']
sterling silver split band wave ring,['12.00']
sterling silver mini wave ring,['6.00']
sterling silver cubic zirconia ultra fine twist ring,['9.00']
sterling silver 4mm d shaped plain band ring,['18.00']
sterling silver fine fancy band ring,['8.00']
sterling silver little wiggle ring,['9.00']
sterling silver slim concave spinning ring,['18.00']
sterling silver pinched band ring,['15.00']
sterling silver hammered spinning ring,['35.00']
sterling silver tiny 1.5mm plain band ring,['9.00']
sterling silver oval gemstone ring,['34.00']
sterling silver mini cutout heart ring,['6.00']
sterling silver organic split band ring,['14.00']
sterling silver three band hammered spinner ring,['32.00']
sterling silver 3 x 2mm russian wedding ring,['20.00']
sterling silver 1.5mm flat band ring,['8.00']
sterling silver cubic zirconia wishbone ring,['12.99']
sterling silver cubic zirconia marquise band ring,['18.00']
sterling silver narrow hammered band,['10.00']
sterling silver curved wishbone ring,['8.00']
sterling silver heart gemstone bobble ring,['12.00']
sterling silver 3 x 1mm russian wedding band,['12.00']
3mm plain sterling silver d shaped band ring,['16.00']
sterling silver dotty band spinner ring,['18.00']
sterling silver split band wave ring,['12.00']
sterling silver mini wave ring,['6.00']
sterling silver cubic zirconia ultra fine twist ring,['9.00']
sterling silver 4mm d shaped plain band ring,['18.00']
sterling silver fine fancy band ring,['8.00']
sterling silver little wiggle ring,['9.00']
sterling silver slim concave spinning ring,['18.00']
sterling silver pinched band ring,['15.00']
sterling silver hammered spinning ring,['35.00']
sterling silver 10mm sleeper hoop,['2.50']
sterling silver 3mm bead studs,['3.99']
sterling silver essential hinged huggie hoop,['12.00']
sterling silver 12mm sleeper hoop,['3.00']
sterling silver 8mm sleeper hoop,['2.25']
sterling silver gemstone teardrop earrings,['14.00']
sterling silver claw set cubic zirconia studs,['5.99']
sterling silver 2mm bead studs,['3.99']
sterling silver tiny crossover hoop,['12.00']
sterling silver simple knot studs,['6.00']
sterling silver cubic zirconia 12mm huggy hoop,['18.00']
sterling silver 3mm claw set cubic zirconia studs,['8.00']
sterling silver huggie hoop mismatched celestial charms,['16.00']
